,Promedio,Reprobadas Primer Semestre,Inscritas,Bajas,Espera Aprobar,Sueño,Ejercicio,Tiempo Total,Usa Metro,Línea,Estación Fin,Tiempo Metro PostP,Alumno PreP,Misma Ruta,Tiempo Metro PreP,Estación,Distancia
1,8.6,4,6,2,Todas,7,Entre 1 y 2,60,Sí,5,Universidad,40.0,Sí,Usaba otra ruta,,Autobuses del Norte,18.715
2,8.2,2,3,0,2,4,Entre 1 y 2,140,Sí,3,Universidad,60.0,No,,,Indios Verdes,21.278
3,8.9,3,5,0,Todas,6,Entre 3 y 4,100,Sí,9,Universidad,50.0,Sí,No usaba Metro,,Pantitlán,19.757
4,8.6,0,5,0,Todas,5,Entre 1 y 2,150,Sí,9,Universidad,90.0,Sí,No usaba Metro,,Pantitlán,19.757
5,8.0,2,5,1,3,7,Ninguno,80,Sí,3,Universidad,45.0,No,,,Indios Verdes,21.278
6,8.71,1,5,1,Todas,8,Ninguno,90,No,12 (mediante otro transporte como MB o RTP de apoyo),,,No,,,Mixcoac,0.0
7,9.4,0,5,0,5,7,Más de 4,2,Sí,12 (mediante otro transporte como MB o RTP de apoyo),Universidad,120.0,Sí,Si,120.0,Tláhuac,0.0
8,8.4,1,5,0,Todas,6,Ninguno,120,No,12 (mediante otro transporte como MB o RTP de apoyo),Universidad,,No,,,Nopalera,0.0
9,8.2,1,6,1,3,5,Ninguno,180,Sí,6,Universidad,70.0,No,,,El Rosario,24.881
10,8.7,1,6,0,3,7,Entre 1 y 2,90,No,12 (mediante otro transporte como MB o RTP de apoyo),,,Sí,No usaba Metro,,Zapata,0.0
11,7.9,1,1,0,1,6,Entre 1 y 2,110,Sí,3,Universidad,50.0,Sí,Si,40.0,Indios Verdes,21.278
12,9.1,0,5,0,Todas,8,Entre 1 y 2,80,Sí,B,Universidad,70.0,No,,,Múzquiz,29.833
13,8.0,0,6,1,3,8,Ninguno,100,No,2,Universidad,70.0,Sí,Usaba otra ruta,,Cuatro Caminos,22.372
14,8.4,1,5,0,Todas,6,Ninguno,70,No,2,Universidad,40.0,Sí,No usaba Metro,,General Anaya,19.045
15,8.7,1,4,0,Todas,6,Entre 1 y 2,90,Sí,9,Universidad,50.0,Sí,Usaba otra ruta,,Mixiuhca,15.046
16,9.0,0,3,0,3,6,Entre 3 y 4,70,No,12 (mediante otro transporte como MB o RTP de apoyo),Universidad,30.0,Sí,No usaba Metro,,Insurgentes,14.243
17,8.0,2,5,1,3,6,Entre 1 y 2,110,Sí,2,Universidad,70.0,No,,,Cuatro Caminos,22.372
18,8.5,0,6,0,Todas,4,Más de 4,60,Sí,2,Universidad,40.0,No,,,San Cosme,15.375
19,9.3,0,5,1,2,6,Ninguno,100,Sí,A,Universidad,80.0,Sí,No usaba Metro,,Agrícola Oriental,21.316
20,7.6,4,6,0,3,6,Ninguno,70,Sí,2,Universidad,30.0,No,,,General Anaya,19.045
21,8.6,2,3,0,5,8,Entre 1 y 2,60,No,1,Universidad,50.0,Sí,No usaba Metro,,Merced,0.0
22,8.4,0,2,1,Todas,6,Ninguno,130,Sí,2,Universidad,60.0,No,,,Cuatro Caminos,22.372
23,7.2,1,5,0,3,6,Entre 1 y 2,60,Sí,8,Universidad,40.0,Sí,No usaba Metro,,Doctores,14.977
